Oración original,Label original,Puntaje Positivo,Puntaje Negativo,Resultado de inferencia,Sentimiento clasificado,Tiempo de ejecución
loovvee my kindle not that the dx is cool but the is fantastic in its own right,1,2.0,1.0,5.342800918917953,Neutral,0.003019571304321289
reading my kindle love it lee childs is good read,1,2.0,0.0,5.789858805013037,Neutral,0.0020012855529785156
ok first assesment of the kindle it fucking rocks,1,1.0,0.0,5.192645703019734,Neutral,0.001997232437133789
you ll love your kindle ve had mine for few months and never looked back the new big one is huge no need for remorse,1,2.0,2.0,4.67637533053079,Neutral,0.003000497817993164
fair enough but have the kindle and think it perfect,1,2.0,0.0,5.789858805013037,Neutral,0.0
no it is too big quite happy with the kindle,1,1.0,1.0,4.831529388442859,Neutral,0.0020227432250976562
fuck this economy hate aig and their non loan given asses,0,0.0,2.0,3.2745098039215668,Negative,0.05011439323425293
jquery is my new best friend,1,2.0,0.0,5.789858805013037,Neutral,0.0
loves twitter,1,1.0,0.0,5.192645703019734,Neutral,0.0
how can you not love obama he makes jokes about himself,1,2.0,0.0,5.789858805013037,Neutral,0.0
firmly believe that obama pelosi have zero desire to be civil it charade and slogan but they want to destroy conservatism,0,2.0,1.0,5.342800918917953,Neutral,0.0
house correspondents dinner was last night whoopi barbara amp sherri went obama got standing ovation,1,0.0,0.0,5.0,Neutral,0.001995563507080078
watchin espn jus seen this new nike commerical with puppet lebron sh was hilarious lmao,1,2.0,0.0,5.789858805013037,Neutral,0.0
dear nike stop with the flywire that shit is waste of science and ugly love,0,2.0,4.0,4.167147667147665,Neutral,0.0019998550415039062
lebron best athlete of our generation if not all time basketball related don want to get into inter sport debates about,1,2.0,0.0,5.789858805013037,Neutral,0.0
was talking to this guy last night and he was telling me that he is die hard spurs fan he also told me that he hates lebron james,0,1.0,3.0,3.6953609847862205,Neutral,0.0019998550415039062
love lebron,1,1.0,0.0,5.192645703019734,Neutral,0.0
lebron is beast but still cheering the til the end,0,1.0,0.0,5.192645703019734,Neutral,0.0010004043579101562
lebron is the boss,1,0.0,0.0,5.0,Neutral,0.0
lebron is hometown hero to me lol love the lakers but let go cavs lol,1,4.0,0.0,8.303571428571429,Positive,0.002017498016357422
lebron and zydrunas are such an awesome duo,1,1.0,0.0,5.192645703019734,Neutral,0.0
lebron is beast nobody in the nba comes even close,1,0.0,0.0,5.0,Neutral,0.0
downloading apps for my iphone so much fun there literally is an app for just about anything,1,1.0,0.0,5.192645703019734,Neutral,0.0
good news just had call from the visa office saying everything is fine what relief am sick of scams out there stealing,1,3.0,3.0,4.904761904761906,Neutral,0.0020003318786621094
awesome come back from via,1,1.0,0.0,5.192645703019734,Neutral,0.0
in montreal for long weekend of amp much needed,1,0.0,0.0,5.0,Neutral,0.0
booz allen hamilton has bad ass homegrown social collaboration platform way cool ttiv,1,1.0,2.0,3.8514860466357166,Neutral,0.002511262893676758
mluc customer innovation award winner booz allen hamilton,1,3.0,0.0,7.0736810187992765,Positive,0.0025017261505126953
current use the nikon and love it but not as much as the canon chose the for the video feature my mistake,1,1.0,1.0,4.831529388442859,Neutral,0.0
google is always good place to look should ve mentioned worked on the mustang my dad,1,1.0,0.0,5.192645703019734,Neutral,0.0
played with an android google phone the slide out screen scares me would break that fucker so fast still prefer my iphone,0,1.0,2.0,3.8514860466357166,Neutral,0.0
us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders,0,0.0,1.0,4.623188405797102,Neutral,0.0025098323822021484
omg so bored amp my tattoos are so itchy help aha,0,1.0,2.0,3.8514860466357166,Neutral,0.0
itchy and miserable,0,0.0,2.0,3.2745098039215668,Negative,0.0
no not itchy for now maybe later lol,0,1.0,2.0,3.8514860466357166,Neutral,0.0
rt love the nerdy stanford human biology videos makes me miss school,1,1.0,2.0,3.8514860466357166,Neutral,0.0
has been bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane,1,1.0,2.0,3.8514860466357166,Neutral,0.0
listening to by danny gokey lt lt lt aww he so amazing lt him so much,1,1.0,0.0,5.192645703019734,Neutral,0.0
is going to sleep then on bike ride,1,0.0,0.0,5.0,Neutral,0.0
cant sleep my tooth is aching,0,0.0,1.0,4.623188405797102,Neutral,0.0
blah blah blah same old same old no plans today going back to sleep guess,0,0.0,4.0,1.8571428571428585,Negative,0.0030002593994140625
glad didnt do bay to breakers today it freaking degrees in san francisco wtf,0,1.0,2.0,3.8514860466357166,Neutral,0.0
obama administration must stop bonuses to aig ponzi schemers,0,1.0,1.0,4.831529388442859,Neutral,0.0
started to think that citi is in really deep amp are they gonna survive the turmoil or are they gonna be the next aig,0,0.0,1.0,4.623188405797102,Neutral,0.0
shaunwoo hate on aig,0,0.0,1.0,4.623188405797102,Neutral,0.0
you will not regret going to see star trek it was awesome,1,1.0,1.0,4.831529388442859,Neutral,0.0
annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that,0,0.0,1.0,4.623188405797102,Neutral,0.0
highly recommend by malcolm gladwell,1,1.0,0.0,5.192645703019734,Neutral,0.0
blink by malcolm gladwell amazing book and the tipping point,1,1.0,0.0,5.192645703019734,Neutral,0.0010013580322265625
malcolm gladwell might be my new man crush,1,0.0,1.0,4.623188405797102,Neutral,0.0
omg the commercials alone on espn are going to drive me nuts,0,0.0,2.0,3.2745098039215668,Negative,0.0
playing with twitter api sounds fun may need to take class or find new friend who like to generate results with api code,1,4.0,0.0,8.303571428571429,Positive,0.0
hello twitter api,1,0.0,0.0,5.0,Neutral,0.0
because the twitter api is slow and most client aren good,0,1.0,0.0,5.192645703019734,Neutral,0.0
yahoo answers can be butt sometimes,0,0.0,0.0,5.0,Neutral,0.0
is scrapbooking with nic,1,0.0,0.0,5.0,Neutral,0.0
rt five things wolfram alpha does better and vastly different than google,1,1.0,0.0,5.192645703019734,Neutral,0.0009984970092773438
just changed my default pic to nike basketball cause bball is awesome,1,1.0,0.0,5.192645703019734,Neutral,0.0
rt was just told that nike layoffs started today,0,0.0,0.0,5.0,Neutral,0.0
back when worked for nike we had one fav word just do it,1,1.0,0.0,5.192645703019734,Neutral,0.0
by the way totally inspired by this freaky nike commercial,1,1.0,1.0,4.831529388442859,Neutral,0.0
class the is supposed to come today,1,0.0,0.0,5.0,Neutral,0.0
needs someone to explain lambda calculus to him,0,0.0,0.0,5.0,Neutral,0.0
took the graduate field exam for computer science today nothing makes you feel like more of an idiot than lambda calculus,0,1.0,1.0,4.831529388442859,Neutral,0.0
shout outs to all east palo alto for being in the buildin karizmakaze cal gta also thanks to profits of doom universal hempz cracka,1,2.0,1.0,5.342800918917953,Neutral,0.0
yeahh wouldn really have lived in east palo alto if could have avoided it guess it only for the summer,0,0.0,1.0,4.623188405797102,Neutral,0.0
great stanford course thanks for making it available to the public really helpful and informative for starting off,1,3.0,0.0,7.0736810187992765,Positive,0.0
work til pm lets go lakers,1,0.0,0.0,5.0,Neutral,0.0
damn you north korea,0,0.0,1.0,4.623188405797102,Neutral,0.0015037059783935547
can we just go ahead and blow north korea off the map already,0,0.0,0.0,5.0,Neutral,0.0
north korea please cease this douchebaggery china doesn even like you anymore,0,2.0,0.0,5.789858805013037,Neutral,0.0
why the hell is pelosi in freakin china and on whose dime,0,0.0,1.0,4.623188405797102,Neutral,0.0
are you burning more cash than chrysler and gm stop the financial tsunami where bailout means taking handout,0,0.0,2.0,3.2745098039215668,Negative,0.0
insects have infected my spinach plant,0,0.0,1.0,4.623188405797102,Neutral,0.0
wish could catch every mosquito in the world burn em slowly they been bitin the shit outta me day mosquitos are the assholes of insects,0,1.0,2.0,3.8514860466357166,Neutral,0.0
just got back from church and totally hate insects,0,0.0,1.0,4.623188405797102,Neutral,0.0
just got mcdonalds goddam those eggs make me sick yeah laker up date go lakers not much of an update well it true so suck it,0,3.0,3.0,4.904761904761906,Neutral,0.0010063648223876953
omgg ohhdee want mcdonalds damn wonder if its open lol,1,2.0,1.0,5.342800918917953,Neutral,0.0
history exam studying ugh,0,0.0,1.0,4.623188405797102,Neutral,0.0
hate revision it so boring am totally unprepared for my exam tomorrow things are not looking good,0,1.0,2.0,3.8514860466357166,Neutral,0.0
higher physics exam tommorow not lookin forward to it much,0,0.0,0.0,5.0,Neutral,0.0
it bank holiday yet only out of work now exam season sucks,0,1.0,1.0,4.831529388442859,Neutral,0.0
cheney and bush are the real culprits,0,0.0,0.0,5.0,Neutral,0.0
life bitch and so is dick cheney bipart tlot tcot hhrs gop dnc,0,0.0,2.0,3.2745098039215668,Negative,0.0
dick cheney dishonest speech about torture terror and obama fred kaplan slate,0,0.0,4.0,1.8571428571428585,Negative,0.0009987354278564453
the republican party is bunch of anti abortion zealots who couldn draw flies to dump neal boortz just now on the radio,0,1.0,3.0,3.6953609847862205,Neutral,0.0
is twitter connections api broken some tweets didn make it to twitter,0,0.0,1.0,4.623188405797102,Neutral,0.0
srsly hate the stupid twitter api timeout thing soo annoying,0,0.0,3.0,1.7222222222222228,Negative,0.0019996166229248047
really liked learning jquery book is worth look too,1,2.0,0.0,5.789858805013037,Neutral,0.0
very interesting ad from adobe by goodby silverstein amp partners youtube adobe cs le sens propre,1,1.0,0.0,5.192645703019734,Neutral,0.0
goodby silverstein agency new site great,1,1.0,0.0,5.192645703019734,Neutral,0.0
rt goodby silverstein new site enjoy it nice find,1,2.0,0.0,5.789858805013037,Neutral,0.0009996891021728516
the ever amazing psyop and goodby silverstein amp partners for hp have to go play with after effects now,1,2.0,0.0,5.789858805013037,Neutral,0.0
top ten most watched on viral video chart love the nike mostvaluablepuppets campaign from wieden amp kennedy,1,2.0,0.0,5.789858805013037,Neutral,0.0
zomg have,1,0.0,0.0,5.0,Neutral,0.0
ok so lots of buzz from io but how lucky are they free,1,3.0,0.0,7.0736810187992765,Positive,0.0
just got free android at google,1,1.0,0.0,5.192645703019734,Neutral,0.0
guess ll be retiring my and start using my developer woot googleio,1,1.0,0.0,5.192645703019734,Neutral,0.0
am happy for philip being at googleio today,1,1.0,0.0,5.192645703019734,Neutral,0.0
lakers played great cannot wait for thursday night lakers vs,1,2.0,0.0,5.789858805013037,Neutral,0.0010006427764892578
judd apatow creates fake sitcom on nbc com to market his new movie viral marketing at its best,1,2.0,1.0,5.342800918917953,Neutral,0.0
viral marketing fail this acia pills brand oughta get shut down for hacking into people messenger get msgs in day arrgh,0,0.0,1.0,4.623188405797102,Neutral,0.0
watching night at the museum lmao,1,1.0,0.0,5.192645703019734,Neutral,0.0
loved night at the museum,1,1.0,0.0,5.192645703019734,Neutral,0.0
just got back from the movies went to see the new night at the museum with rachel it was good,1,1.0,0.0,5.192645703019734,Neutral,0.0
will take you on date to see night at the museum whenever you want it looks soo good,1,2.0,0.0,5.789858805013037,Neutral,0.0
no watching the night at the museum getting really good,1,1.0,1.0,4.831529388442859,Neutral,0.0
night at the museum wolverine and junk food perfect monday,1,1.0,0.0,5.192645703019734,Neutral,0.00099945068359375
saw night at the museum last night pretty crazy movie but the cast was awesome so it was well worth it robin williams forever,1,4.0,1.0,5.8780487804878065,Neutral,0.002000093460083008
night at the museum tonite instead of up oh well that yr old better enjoy it lol,0,4.0,0.0,8.303571428571429,Positive,0.0
it unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable,0,1.0,1.0,4.831529388442859,Neutral,0.0
tell me again why we are giving more to gm we should use that for all the programs that support the unemployed,0,2.0,0.0,5.789858805013037,Neutral,0.0
oh yes but if gm dies it will only be worth more boo hahaha,0,3.0,0.0,7.0736810187992765,Positive,0.0
time warner cable is down again rd time since memorial day bummer,0,0.0,1.0,4.623188405797102,Neutral,0.0009999275207519531
would rather pay reasonable yearly taxes for free fast internet than get gouged by time warner for slow connection,0,1.0,1.0,4.831529388442859,Neutral,0.0
noo my dvr just died and was only half way through the ea presser hate you time warner,0,0.0,2.0,3.2745098039215668,Negative,0.0
ck time warner cable you cking suck balls have hd tv amp my damn hd channels hardly ever come in bullshit,0,0.0,3.0,1.7222222222222228,Negative,0.0
time warner has the worse customer service ever will never use them again,0,0.0,1.0,4.623188405797102,Neutral,0.0
time warner is the devil worst possible time for the internet to go out,0,0.0,2.0,3.2745098039215668,Negative,0.0
fuck no internet damn time warner,0,0.0,3.0,1.7222222222222228,Negative,0.0
time warner really picks the worst time to not work all want to do is get to mtv com so can watch the hills wtff,0,1.0,1.0,4.831529388442859,Neutral,0.0
hate time warner soo wish had vios cant watch the fricken mets game buffering feel like im watching free internet porn,0,3.0,1.0,5.8085782458072375,Neutral,0.002004384994506836
ahh got rid of stupid time warner today amp now taking nap while the roomies cook for me pretty good end for monday,0,2.0,1.0,5.342800918917953,Neutral,0.0
time warner hd line up is crap,0,0.0,1.0,4.623188405797102,Neutral,0.0
is being fucked by time warner cable didnt know modems could explode and susan boyle sucks too,0,0.0,2.0,3.2745098039215668,Negative,0.0010001659393310547
time warner cable slogan where calling it day at pm happens,0,0.0,0.0,5.0,Neutral,0.0
recovering from surgery wishing was here,0,1.0,0.0,5.192645703019734,Neutral,0.0
my wrist still hurts have to get it looked at hate the dr dentist scary places time to watch eagle eye if you want to join txt,1,2.0,3.0,4.5664827065506595,Neutral,0.0019996166229248047
the dentist lied won feel any discomort prob won even need pain pills man twippin this shit hurt how many pills can take,0,2.0,4.0,4.167147667147665,Neutral,0.0
my dentist is great but she expensive,0,1.0,0.0,5.192645703019734,Neutral,0.0
is studing math tomorrow exam and dentist,1,0.0,0.0,5.0,Neutral,0.0
my dentist was wrong wrong,0,0.0,2.0,3.2745098039215668,Negative,0.0010023117065429688
going to the dentist later,0,0.0,0.0,5.0,Neutral,0.0
son has me looking at cars online hate car shopping would rather go to the dentist anyone with good car at good price to sell,0,2.0,1.0,5.342800918917953,Neutral,0.0
luke and got stopped walking out of safeway and asked to empty our pockets and lift our shirts how jacked up is that,0,0.0,2.0,3.2745098039215668,Negative,0.0
safeway is very rock roll tonight,1,0.0,0.0,5.0,Neutral,0.0
the safeway bathroom still smells like ass,0,1.0,1.0,4.831529388442859,Neutral,0.0
at safeway on elkhorn they move like they re dead,0,1.0,1.0,4.831529388442859,Neutral,0.0
love dwight howard vitamin water commercial now wish he was with nike and not adidas lol,1,4.0,0.0,8.303571428571429,Positive,0.0
found nothing at nike factory off to banana republic outlet,0,0.0,0.0,5.0,Neutral,0.000997781753540039
is lovin his nike already and that only from running on the spot in his bedroom,1,0.0,0.0,5.0,Neutral,0.0
finally got around to using jquery to make my bio collapse yay for slide animations,1,1.0,1.0,4.831529388442859,Neutral,0.0
right lol we ll get there have high expectations warren buffet style,1,1.0,0.0,5.192645703019734,Neutral,0.0
rt rt great someone sitting in the shade today because someone planted tree long time ago warren buffet,1,1.0,0.0,5.192645703019734,Neutral,0.0
warren buffet became for time the richest man in the united states not by working but investing in big idea which lead to the fortune,1,2.0,0.0,5.789858805013037,Neutral,0.0
according to the create school notre dame will have receivers in ncaa at or higher rating sweet,1,2.0,0.0,5.789858805013037,Neutral,0.0010006427764892578
it definitely under warranty amp my experience is the amazon support for kindle is great had to contact them about my kindle,1,4.0,0.0,8.303571428571429,Positive,0.0
time warner road runner customer support here absolutely blows hate not having other high speed net options ready to go nuclear,0,2.0,1.0,5.342800918917953,Neutral,0.0
time warner cable phone reps dumber than nails ugh cable was working mins ago now its not wtf,0,0.0,3.0,1.7222222222222228,Negative,0.0
we tried but time warner wasn being nice so we recorded today,0,1.0,0.0,5.192645703019734,Neutral,0.0
omg time warner ed up my internet install instead of today its now next saturday another week internet amp ehfa fhg fml,0,0.0,0.0,5.0,Neutral,0.0
wth have never seen line this loong at time warner before ugh,0,0.0,2.0,3.2745098039215668,Negative,0.0
impatiently awaiting the arrival of the time warner guy it way too pretty to be inside all afternoon,0,1.0,1.0,4.831529388442859,Neutral,0.00099945068359375
naive bayes using em for text classification really frustrating,0,0.0,2.0,3.2745098039215668,Negative,0.0
we went to stanford university today got tour made me want to go back to college it also decided all of our kids will go there,1,1.0,0.0,5.192645703019734,Neutral,0.0
if you re being harassed by calls about your car warranty changing your number won fix that they call every number bags,0,3.0,1.0,5.8085782458072375,Neutral,0.0
just blocked united blood services using google voice they call more than those car warranty guys,0,1.0,1.0,4.831529388442859,Neutral,0.0005035400390625
at amp is complete fail,0,0.0,1.0,4.623188405797102,Neutral,0.0
oh snap you work at at amp don you,0,0.0,0.0,5.0,Neutral,0.0
really dont want at amp phone service they suck when it comes to having signal,0,1.0,1.0,4.831529388442859,Neutral,0.0
say we just cut out the small talk at amp new slogan fk you give us your money apologies to bob geldof,0,0.0,1.0,4.623188405797102,Neutral,0.0
pissed about at amp mid contract upgrade price for the iphone it more not going to pay for something thought was,0,0.0,2.0,3.2745098039215668,Negative,0.0
safari is fast even on my shitty at amp tethering,0,0.0,1.0,4.623188405797102,Neutral,0.0
what is at amp fucking up,0,0.0,0.0,5.0,Neutral,0.0
at amp dropped the ball and isn supporting crap with the new iphone fail att sucks,0,1.0,3.0,3.6953609847862205,Neutral,0.0010058879852294922
yay glad you got the phone still damn you at amp,0,2.0,1.0,5.342800918917953,Neutral,0.0
talk is cheap bing that ll stick with google,0,0.0,0.0,5.0,Neutral,0.0
wtf is the point of deleting tweets if they can still be found in summize and searches twitter please fix that thanks and bye,0,2.0,1.0,5.342800918917953,Neutral,0.0
love google translator too good day mate,1,2.0,0.0,5.789858805013037,Neutral,0.0
reading on my new kindle,1,0.0,0.0,5.0,Neutral,0.0
my kindle came and love it,1,1.0,0.0,5.192645703019734,Neutral,0.0
loving my new kindle named her kendra in case were wondering the cookbook is the tool cuz it tells all the tricks best gift evr,1,3.0,1.0,5.8085782458072375,Neutral,0.0
the real aig scandal,0,0.0,1.0,4.623188405797102,Neutral,0.0
